stage,brick_remain,catch_count,state,run_sec
5,1,29,FAIL,32.81
5,0,20,FINISH,22.57
5,0,23,FINISH,23.53
5,1,31,FAIL,32.44
5,0,20,FINISH,22.57
5,7,26,FAIL,30.73
5,0,23,FINISH,23.53
5,0,27,FINISH,26.8
5,7,29,FAIL,36.71
5,2,25,FAIL,30.19
5,0,18,FINISH,18.77
5,0,23,FINISH,23.53
5,3,34,FAIL,39.25
5,0,25,FINISH,25.58
5,0,25,FINISH,26.53
5,0,26,FINISH,28
5,4,28,FAIL,31.77
5,3,27,FAIL,30.59
5,0,23,FINISH,23.79
5,0,26,FINISH,28
5,0,26,FINISH,28
5,0,21,FINISH,24.2
5,0,25,FINISH,25.55
5,2,30,FAIL,30.85
5,2,30,FAIL,30.85
5,0,27,FINISH,26.8
5,7,27,FAIL,30.63
5,0,26,FINISH,28
1,3,1,FAIL,1.89
2,2,6,FAIL,7.09
2,11,0,FAIL,1
2,5,2,FAIL,2.15
2,14,1,FAIL,1.57
2,8,2,FAIL,2.17
2,11,1,FAIL,2.12
2,5,3,FAIL,2.77
2,3,7,FAIL,5.75
2,14,2,FAIL,1.58
2,13,4,FAIL,2.56
2,12,2,FAIL,2.33
2,15,2,FAIL,0.66
2,7,1,FAIL,2.1
2,15,1,FAIL,0.65
2,5,3,FAIL,2.77
2,5,5,FAIL,4.21
2,4,5,FAIL,4.07
2,5,3,FAIL,3.7
2,3,6,FAIL,6.93
2,3,3,FAIL,4.27
2,3,1,FAIL,1.88
2,11,0,FAIL,1.01
2,14,2,FAIL,1.58
2,1,26,FAIL,30.63
2,0,7,FINISH,7.6
2,1,26,FAIL,30.67
2,0,8,FINISH,9.22
2,11,0,FAIL,1
2,8,2,FAIL,2.17
3,0,13,FINISH,13.55
3,19,5,FAIL,4.41
3,25,1,FAIL,1.58
3,1,15,FAIL,14.95
3,25,0,FAIL,0.92
3,26,1,FAIL,0.66
3,10,11,FAIL,9.64
3,25,0,FAIL,0.92
3,7,14,FAIL,12.76
3,2,15,FAIL,15.19
3,20,4,FAIL,4.14
3,2,15,FAIL,15.19
4,22,5,FAIL,4.41
3,1,16,FAIL,16.11
4,25,4,FAIL,3.51
3,23,3,FAIL,2.41
3,4,13,FAIL,13.61
4,0,18,FINISH,19.64
3,24,0,FAIL,1
4,26,5,FAIL,4.22
4,28,0,FAIL,1.03
5,1,31,FAIL,32.63
3,9,12,FAIL,11.79
5,41,1,FAIL,1.61
5,41,1,FAIL,1.58
4,14,9,FAIL,9.37
4,27,0,FAIL,1.03
5,34,1,FAIL,1.36
3,3,11,FAIL,10.06
5,41,1,FAIL,0.47
3,26,0,FAIL,0.46
4,24,6,FAIL,5.19
5,41,1,FAIL,1.57
3,7,3,FAIL,4.18
4,24,3,FAIL,2.73
5,4,18,FAIL,17.87
4,4,16,FAIL,15.29
5,36,0,FAIL,1.64
4,25,4,FAIL,3.51
4,24,3,FAIL,2.73
3,6,27,FAIL,30.45
5,16,9,FAIL,9.65
5,0,23,FINISH,22.4
3,0,11,FINISH,11.55
3,16,1,FAIL,1.42
4,18,11,FAIL,8.81
4,27,2,FAIL,2.33
5,40,2,FAIL,2.2
5,41,0,FAIL,0.92
4,26,3,FAIL,3.45
3,9,12,FAIL,11.79
4,22,4,FAIL,4.79
3,7,3,FAIL,4.18
4,26,2,FAIL,2.16
3,25,1,FAIL,1.58
5,2,20,FAIL,20.74
5,41,1,FAIL,1.61
3,9,12,FAIL,11.79
4,9,16,FAIL,14.02
5,38,4,FAIL,3.96
3,23,5,FAIL,3.13
4,29,4,FAIL,2.56
5,41,0,FAIL,0.92
5,40,0,FAIL,1
5,29,4,FAIL,4.18
3,1,16,FAIL,16.11
4,0,18,FINISH,19.64
3,7,3,FAIL,4.18
5,25,10,FAIL,8.65
4,28,0,FAIL,1.26
5,36,0,FAIL,1.64
4,20,5,FAIL,4.07
5,17,11,FAIL,9.86
4,18,11,FAIL,8.81
4,20,5,FAIL,4.07
4,29,0,FAIL,1.3
4,18,3,FAIL,2.53
4,22,0,FAIL,1.51
5,0,24,FINISH,23.93
4,29,4,FAIL,2.56
4,28,4,FAIL,2.51
5,16,11,FAIL,10.39
4,25,0,FAIL,1.48
5,1,16,FAIL,14.1
5,41,1,FAIL,1.61
5,40,2,FAIL,0.66
5,31,7,FAIL,5.16
5,38,4,FAIL,3.96
5,16,11,FAIL,10.39
2,3,9,FAIL,8.26
2,10,1,FAIL,1.55
2,13,1,FAIL,1.54
2,8,4,FAIL,4.4
2,12,4,FAIL,2.95
3,24,1,FAIL,1.6
3,22,0,FAIL,1.3
3,9,12,FAIL,10.68
3,27,1,FAIL,0.63
4,19,7,FAIL,7.38
3,17,0,FAIL,1.4
2,1,27,FAIL,30.61
3,21,2,FAIL,2.83
2,15,1,FAIL,0.65
4,3,13,FAIL,12.37
5,42,1,FAIL,0.46
2,16,0,FAIL,0.64
2,11,2,FAIL,2.12
4,12,10,FAIL,9.19
5,26,10,FAIL,9.75
5,17,4,FAIL,4.58
4,14,12,FAIL,10.09
3,2,28,FAIL,30.88
4,16,7,FAIL,6.58
5,25,11,FAIL,11.01
5,42,1,FAIL,0.66
2,3,26,FAIL,30.31
3,11,11,FAIL,10.35
3,22,2,FAIL,2.5
5,17,4,FAIL,4.58
4,14,11,FAIL,9.7
2,6,5,FAIL,5.81
4,26,0,FAIL,1.01
2,12,2,FAIL,2.95
3,3,6,FAIL,6.66
2,15,2,FAIL,0.74
3,19,5,FAIL,4.02
5,21,14,FAIL,13.83
2,11,2,FAIL,2.12
4,2,12,FAIL,13.19
2,10,2,FAIL,1.48
2,11,2,FAIL,1.03
4,23,6,FAIL,5.47
5,0,13,FINISH,12.43
2,0,4,FINISH,5.67
3,2,15,FAIL,16.1
4,11,6,FAIL,5.59
2,12,2,FAIL,1.56
4,24,1,FAIL,2.17
2,12,2,FAIL,1.03
5,0,10,FINISH,10.2
3,0,9,FINISH,10.29
2,12,0,FAIL,1.02
4,25,4,FAIL,3.56
5,29,5,FAIL,3.87
3,21,2,FAIL,2.66
5,40,0,FAIL,1.02
2,2,5,FAIL,5.77
4,26,5,FAIL,4.22
3,24,4,FAIL,2.48
4,29,1,FAIL,1.54
3,22,3,FAIL,2.54
4,23,3,FAIL,3.85
4,28,0,FAIL,1.26
5,9,16,FAIL,16.47
4,29,2,FAIL,1.83
3,4,15,FAIL,14.39
5,34,7,FAIL,5.09
3,27,1,FAIL,0.63
4,21,4,FAIL,4.41
4,25,2,FAIL,1.48
5,32,9,FAIL,6.81
4,14,6,FAIL,6.11
3,1,16,FAIL,15.93
5,21,13,FAIL,12.71
4,13,8,FAIL,8
4,19,8,FAIL,6.84
3,0,14,FINISH,14.89
4,26,2,FAIL,1.48
5,11,16,FAIL,14.81
3,21,2,FAIL,2.81
5,37,2,FAIL,1.58
4,13,6,FAIL,6.42
3,8,8,FAIL,9.36
4,24,5,FAIL,4.68
5,24,11,FAIL,9.34
3,21,5,FAIL,4.24
4,28,1,FAIL,1.55
5,38,1,FAIL,1.6
4,26,0,FAIL,1.01
4,23,3,FAIL,3.85
5,22,12,FAIL,12.14
4,16,8,FAIL,7.43
4,26,2,FAIL,1.48
5,25,8,FAIL,8.14
3,4,27,FAIL,30.68
5,10,5,FAIL,4.48
3,23,1,FAIL,2.11
3,19,3,FAIL,3.08
5,31,6,FAIL,6.3
3,25,2,FAIL,0.66
5,38,1,FAIL,1.6
3,10,10,FAIL,8.61
5,11,11,FAIL,10.79
3,17,3,FAIL,4.13
5,3,14,FAIL,13.75
5,42,1,FAIL,0.66
3,0,14,FINISH,14.89
5,18,8,FAIL,7.57
5,16,12,FAIL,11.32
1,2,2,FAIL,2.44
1,5,0,FAIL,0.63
1,4,0,FAIL,0.85
1,4,1,FAIL,1.23
2,10,0,FAIL,1.48
1,3,0,FAIL,0.82
2,13,0,FAIL,0.68
1,4,0,FAIL,0.55
2,15,0,FAIL,0.8
3,13,1,FAIL,2.09
1,3,0,FAIL,0.99
2,15,0,FAIL,0.65
3,23,2,FAIL,2.42
1,4,0,FAIL,1.22
4,31,0,FAIL,0.79
2,5,2,FAIL,2.6
3,26,0,FAIL,0.79
1,4,1,FAIL,0.67
4,29,0,FAIL,1.02
2,12,0,FAIL,1.03
3,24,0,FAIL,1.29
1,3,0,FAIL,1.01
2,10,0,FAIL,1.01
3,26,0,FAIL,0.86
4,18,2,FAIL,2.6
1,3,0,FAIL,0.99
5,42,0,FAIL,0.66
2,16,0,FAIL,0.64
4,30,0,FAIL,0.54
3,24,0,FAIL,1.02
1,4,0,FAIL,0.92
5,39,1,FAIL,1.37
2,15,0,FAIL,0.84
4,31,0,FAIL,0.86
3,16,1,FAIL,1.47
1,3,0,FAIL,1.01
5,42,0,FAIL,0.86
2,11,0,FAIL,1.28
4,31,0,FAIL,0.79
3,26,0,FAIL,0.95
1,4,0,FAIL,0.93
5,43,0,FAIL,0.63
2,14,0,FAIL,0.54
3,24,0,FAIL,0.68
4,31,0,FAIL,0.81
1,3,1,FAIL,1.88
5,40,1,FAIL,1.39
2,14,0,FAIL,0.82
4,31,0,FAIL,0.81
3,26,0,FAIL,0.81
5,42,0,FAIL,0.66
1,3,0,FAIL,1.28
2,5,1,FAIL,2.09
3,26,0,FAIL,0.82
4,26,0,FAIL,1.29
1,4,0,FAIL,0.77
5,0,24,FINISH,21.33
2,12,0,FAIL,1.26
4,31,0,FAIL,0.65
3,26,0,FAIL,0.75
5,41,0,FAIL,0.76
1,0,4,FINISH,1.28
2,14,0,FAIL,0.82
4,28,0,FAIL,1.26
3,0,8,FINISH,1.47
5,43,0,FAIL,0.63
2,14,0,FAIL,0.75
1,1,1,FAIL,2.68
4,0,13,FINISH,0.78
2,15,0,FAIL,0.64
5,18,1,FAIL,1.94
1,2,2,FAIL,2.63
3,11,5,FAIL,5.44
5,40,0,FAIL,1.28
2,7,1,FAIL,2.1
1,3,0,FAIL,1.01
4,31,0,FAIL,0.57
3,25,0,FAIL,0.8
5,42,0,FAIL,0.66
2,5,0,FAIL,1.19
1,4,0,FAIL,0.58
3,25,1,FAIL,1.4
5,40,0,FAIL,1.02
4,27,2,FAIL,2.47
2,12,0,FAIL,1.26
1,3,1,FAIL,1.88
5,41,0,FAIL,0.67
4,30,0,FAIL,0.75
3,26,0,FAIL,0.82
2,12,1,FAIL,1.35
5,42,0,FAIL,0.82
4,29,0,FAIL,0.99
2,15,0,FAIL,0.66
3,23,1,FAIL,1.61
1,0,6,FINISH,6.93
5,43,0,FAIL,0.63
2,15,0,FAIL,0.85
4,30,0,FAIL,0.82
3,24,1,FAIL,1.38
1,4,0,FAIL,0.76
5,40,1,FAIL,1.4
4,29,0,FAIL,1.02
3,22,0,FAIL,1.3
2,7,1,FAIL,2.1
1,2,2,FAIL,2.44
3,24,0,FAIL,1
5,29,3,FAIL,3.1
4,17,0,FAIL,2.69
2,6,2,FAIL,2.33
1,3,1,FAIL,1.88
3,24,0,FAIL,1.02
5,41,0,FAIL,0.67
4,31,0,FAIL,0.83
2,11,0,FAIL,1.28
1,3,0,FAIL,0.75
3,0,10,FINISH,0.64
5,42,0,FAIL,0.67
4,26,0,FAIL,1.01
2,12,0,FAIL,0.67
3,24,1,FAIL,1.35
5,39,1,FAIL,1.33
2,13,0,FAIL,1.3
4,30,2,FAIL,1.57
1,0,6,FINISH,6.93
3,26,0,FAIL,0.86
5,42,0,FAIL,0.78
2,12,2,FAIL,2.46
4,28,2,FAIL,2.34
1,4,0,FAIL,0.84
5,42,0,FAIL,0.57
3,24,1,FAIL,1.37
4,29,0,FAIL,1.02
5,40,0,FAIL,1.01
2,6,2,FAIL,2.33
3,26,0,FAIL,0.75
4,31,0,FAIL,0.79
5,42,0,FAIL,0.66
3,21,3,FAIL,3.36
5,41,0,FAIL,0.67
4,27,0,FAIL,1.29
3,24,0,FAIL,0.99
4,31,0,FAIL,0.76
5,40,1,FAIL,1.39
3,26,0,FAIL,0.79
4,28,0,FAIL,1.02
5,40,1,FAIL,1.4
4,30,0,FAIL,0.66
5,32,0,FAIL,1.77
4,30,1,FAIL,1.39
5,40,2,FAIL,2.4
4,0,28,FINISH,30.1
5,29,9,FAIL,7.74
5,37,3,FAIL,1.9
4,5,4,FAIL,5.56
3,1,6,FAIL,8.45
2,6,1,FAIL,1.91
2,15,1,FAIL,0.85
1,1,4,FAIL,5.6
3,1,6,FAIL,9.16
4,0,14,FINISH,16.13
1,2,2,FAIL,3.08
1,4,0,FAIL,0.78
5,0,18,FINISH,22.94
4,26,4,FAIL,4.06
3,0,10,FINISH,10.79
1,0,3,FINISH,3.22
4,28,2,FAIL,1
5,34,3,FAIL,3.49
4,16,5,FAIL,5.78
1,1,5,FAIL,6.6
2,1,27,FAIL,30.65
3,0,10,FINISH,10.79
1,4,0,FAIL,0.8
4,6,4,FAIL,5.31
1,0,2,FINISH,2.44
2,1,9,FAIL,10.86
5,0,20,FINISH,22.04
1,1,4,FAIL,4.75
2,13,1,FAIL,0.99
1,0,3,FINISH,4.05
4,0,15,FINISH,16.15
5,0,12,FINISH,12.26
1,3,3,FAIL,2.89
3,4,23,FAIL,28.34
2,1,10,FAIL,12.48
4,0,7,FINISH,8.11
3,16,6,FAIL,6.28
5,20,10,FAIL,9.77
2,7,6,FAIL,6.77
4,16,3,FAIL,4.47
2,6,1,FAIL,1.91
3,0,7,FINISH,8.25
2,6,4,FAIL,5.24
5,8,7,FAIL,11.28
4,8,7,FAIL,9.74
1,1,26,FAIL,30.69
4,9,2,FAIL,3
3,4,11,FAIL,12.88
1,1,4,FAIL,5.6
1,4,0,FAIL,0.79
5,0,15,FINISH,17.42
1,3,2,FAIL,1.95
3,0,16,FINISH,16.28
1,1,4,FAIL,4.75
2,2,27,FAIL,31.93
1,4,0,FAIL,0.79
3,7,3,FAIL,4.71
5,0,13,FINISH,15.44
4,2,27,FAIL,30.4
1,0,2,FINISH,2.44
3,9,4,FAIL,4.32
1,3,3,FAIL,2.89
4,6,4,FAIL,5.31
5,11,6,FAIL,8.5
1,4,0,FAIL,0.79
3,12,2,FAIL,4.34
5,23,8,FAIL,7.74
4,0,11,FINISH,12.74
3,11,8,FAIL,7.9
2,3,28,FAIL,31.89
3,22,4,FAIL,2.74
4,25,5,FAIL,4.41
2,3,5,FAIL,3.95
5,13,12,FAIL,11.68
4,25,3,FAIL,3.55
5,34,3,FAIL,3.49
1,2,28,FAIL,32.6
3,1,16,FAIL,18.29
4,8,8,FAIL,11.04
3,26,0,FAIL,0.78
1,0,7,FINISH,7.3
4,20,6,FAIL,5.86
1,0,3,FINISH,3.22
3,11,3,FAIL,5.16
2,3,28,FAIL,31.89
4,25,5,FAIL,4.41
5,0,25,FINISH,26.19
2,8,2,FAIL,0.81
4,19,4,FAIL,4.77
2,7,1,FAIL,1.55
5,21,5,FAIL,5.04
5,35,3,FAIL,1.98
2,2,5,FAIL,6.01
5,37,4,FAIL,4.01
4,0,13,FINISH,13.89
2,5,3,FAIL,4.08
3,7,25,FAIL,30.62
1,2,29,FAIL,33.7
2,7,4,FAIL,4.04
5,23,8,FAIL,8
2,15,0,FAIL,0.78
1,1,4,FAIL,5.7
3,7,10,FAIL,9.76
2,4,2,FAIL,3.09
4,7,17,FAIL,15.37
4,27,2,FAIL,1
3,9,4,FAIL,4.32
5,3,19,FAIL,20.39
2,0,10,FINISH,12.1
3,7,8,FAIL,9.61
4,8,8,FAIL,11.04
2,7,4,FAIL,4.04
1,2,29,FAIL,33.7
5,0,15,FINISH,16.03
2,0,10,FINISH,12.1
1,0,4,FINISH,4.38
3,0,16,FINISH,16.33
2,3,4,FAIL,4.92
4,10,22,FAIL,25.01
1,1,5,FAIL,6.6
3,24,2,FAIL,1
4,27,2,FAIL,1
3,15,1,FAIL,1.23
1,0,6,FINISH,7.24
4,25,3,FAIL,3.55
2,0,9,FINISH,10.38
2,15,0,FAIL,0.78
1,3,1,FAIL,2.08
5,2,27,FAIL,30.51
2,15,2,FAIL,0.84
3,0,7,FINISH,8.25
1,0,6,FINISH,6.18
2,5,1,FAIL,2.33
5,7,6,FAIL,10.44
2,3,5,FAIL,3.95
5,42,0,FAIL,0.79
2,0,4,FINISH,5.27
5,37,4,FAIL,4.01
4,3,28,FAIL,31.61
4,30,2,FAIL,2.43
5,11,6,FAIL,8.5
3,1,6,FAIL,9.16
3,13,4,FAIL,3.56
5,1,7,FAIL,8.44
3,2,11,FAIL,12.15
5,0,14,FINISH,14.87
3,4,9,FAIL,9.8
5,20,10,FAIL,9.77
5,31,2,FAIL,2.3
3,4,11,FAIL,12.88
1,1,1,FAIL,2.24
1,5,0,FAIL,0.66
1,4,0,FAIL,0.54
2,8,1,FAIL,2.55
1,4,0,FAIL,1.25
2,15,0,FAIL,0.81
1,3,0,FAIL,1.21
2,5,0,FAIL,2.15
1,1,1,FAIL,2.24
2,15,0,FAIL,0.65
1,4,0,FAIL,1.22
2,15,0,FAIL,0.74
1,3,0,FAIL,0.82
2,11,0,FAIL,1.32
1,4,0,FAIL,0.74
2,8,0,FAIL,0.85
1,5,0,FAIL,0.66
2,7,1,FAIL,2.48
1,3,1,FAIL,2.42
1,4,0,FAIL,1.25
2,15,0,FAIL,0.65
1,4,0,FAIL,1.25
1,3,1,FAIL,1.56
2,11,2,FAIL,3.02
1,4,0,FAIL,0.72
1,4,0,FAIL,1.22
5,42,0,FAIL,0.68
2,15,0,FAIL,0.79
1,4,1,FAIL,1.59
5,42,0,FAIL,0.73
1,1,0,FAIL,1.28
2,15,0,FAIL,0.74
1,4,2,FAIL,0.56
5,42,0,FAIL,0.5
1,4,0,FAIL,1.22
2,10,0,FAIL,1.48
1,4,0,FAIL,1.2
4,28,1,FAIL,2.18
1,4,0,FAIL,0.74
1,4,0,FAIL,1.25
2,8,2,FAIL,3.12
4,31,0,FAIL,0.79
5,21,7,FAIL,5.79
1,2,1,FAIL,2.14
2,15,0,FAIL,0.52
4,31,0,FAIL,0.79
5,41,2,FAIL,0.65
1,3,1,FAIL,1.85
1,3,0,FAIL,1.28
4,30,0,FAIL,0.68
2,12,0,FAIL,1.54
1,3,0,FAIL,1.29
1,4,0,FAIL,0.94
5,30,4,FAIL,3.81
2,14,1,FAIL,0.54
4,31,0,FAIL,0.76
1,4,0,FAIL,0.91
1,2,1,FAIL,2.14
2,14,1,FAIL,0.54
4,31,0,FAIL,0.52
1,4,0,FAIL,0.8
1,4,0,FAIL,0.74
2,16,0,FAIL,0.64
4,31,0,FAIL,0.67
5,16,4,FAIL,6.32
1,5,0,FAIL,0.67
1,3,0,FAIL,1.24
2,15,0,FAIL,0.78
4,31,0,FAIL,0.53
1,4,0,FAIL,0.8
5,37,0,FAIL,1.58
1,4,1,FAIL,0.55
4,26,0,FAIL,0.5
2,12,1,FAIL,1.9
1,4,0,FAIL,0.93
1,4,0,FAIL,0.98
4,29,0,FAIL,0.5
5,24,4,FAIL,4.25
2,15,0,FAIL,0.7
1,4,0,FAIL,0.72
1,4,0,FAIL,1.25
4,30,0,FAIL,0.71
5,38,0,FAIL,0.47
1,4,0,FAIL,0.96
2,12,1,FAIL,1.9
1,4,0,FAIL,0.94
4,28,1,FAIL,1.56
5,41,2,FAIL,0.65
2,15,0,FAIL,0.8
1,4,0,FAIL,0.72
1,1,2,FAIL,2.98
4,31,2,FAIL,0.83
5,22,0,FAIL,0.81
2,15,0,FAIL,0.79
1,3,0,FAIL,1.28
4,28,0,FAIL,1.26
1,3,1,FAIL,1.84
5,26,0,FAIL,1.51
2,15,0,FAIL,0.53
4,31,2,FAIL,0.55
1,2,1,FAIL,2.14
1,4,0,FAIL,0.8
5,17,0,FAIL,0.9
2,7,1,FAIL,2.48
4,30,0,FAIL,0.75
5,42,0,FAIL,0.75
1,2,1,FAIL,2.14
2,15,0,FAIL,0.74
1,1,2,FAIL,2.95
1,4,0,FAIL,0.73
5,39,3,FAIL,1.55
2,13,0,FAIL,0.97
4,24,2,FAIL,3.4
1,4,0,FAIL,1.23
4,16,0,FAIL,0.58
2,11,0,FAIL,1.03
5,36,4,FAIL,2.83
1,4,0,FAIL,0.52
4,31,0,FAIL,0.81
5,42,0,FAIL,0.68
1,4,0,FAIL,0.78
4,31,0,FAIL,0.77
1,3,0,FAIL,0.53
4,28,0,FAIL,1.26
4,31,0,FAIL,0.51
1,1,1,FAIL,2.13
4,28,0,FAIL,0.49
1,3,0,FAIL,1.21
5,11,11,FAIL,14.9
4,32,0,FAIL,0.64
1,4,0,FAIL,0.96
5,42,0,FAIL,0.49
4,26,0,FAIL,0.5
1,4,0,FAIL,0.67
5,42,0,FAIL,0.7
1,4,1,FAIL,0.55
4,21,1,FAIL,2.39
4,31,0,FAIL,0.49
5,24,4,FAIL,4.25
5,42,0,FAIL,0.77
4,16,1,FAIL,3.57
5,30,0,FAIL,0.58
4,15,0,FAIL,0.81
5,43,0,FAIL,0.63
4,26,0,FAIL,0.5
5,7,13,FAIL,17.35
5,42,0,FAIL,0.68
5,36,1,FAIL,1.56
5,42,0,FAIL,0.73
5,42,0,FAIL,0.7
1,4,0,FAIL,0.81
1,4,0,FAIL,0.95
1,3,0,FAIL,0.86
1,4,0,FAIL,0.83
1,3,0,FAIL,0.53
1,3,0,FAIL,0.75
1,3,0,FAIL,0.86
1,4,0,FAIL,0.93
1,4,1,FAIL,1.92
1,4,0,FAIL,0.87
1,4,0,FAIL,0.89
1,4,0,FAIL,0.93
2,15,0,FAIL,0.86
