modelname,stage,brick_remain,catch_count,state,run_sec
KNN_RE_k=5_rmse=17.12,1,0,3,FINISH,3.88
KNN_RE_k=5_rmse=17.12,1,0,3,FINISH,3.71
RandomForest_RE_rmse=11.90,1,0,3,FINISH,3.88
RandomForest_RE_rmse=11.90,1,3,0,FAIL,1.29
RandomForest_RE_rmse=11.90,1,3,1,FAIL,2.26
RandomForest_RE_rmse=11.90,1,3,3,FAIL,2.12
RandomForest_RE_rmse=11.90,1,4,1,FAIL,0.99
RandomForest_RE_rmse=11.90,2,15,1,FAIL,0.89
RandomForest_RE_rmse=11.90,2,13,1,FAIL,2.17
RandomForest_RE_rmse=11.90,2,13,2,FAIL,2.65
RandomForest_RE_rmse=11.90,2,3,2,FAIL,3.69
RandomForest_RE_rmse=11.90,2,13,3,FAIL,1.77
RandomForest_RE_rmse=11.90,2,11,3,FAIL,3.08
RandomForest_RE_rmse=11.90,2,8,5,FAIL,4.55
RandomForest_RE_rmse=11.90,2,15,0,FAIL,0.89
RandomForest_RE_rmse=11.90,2,13,0,FAIL,1.29
DCT_RE_depth=10_rmse=17.79,2,13,3,FAIL,2.65
DCT_RE_depth=10_rmse=17.79,1,2,4,FAIL,3.26
DCT_RE_depth=10_rmse=17.79,1,3,2,FAIL,1.95
DCT_RE_depth=10_rmse=17.79,1,1,5,FAIL,4.99
DCT_RE_depth=10_rmse=17.79,1,0,3,FINISH,4.03
DCT_RE_depth=10_rmse=17.79,1,0,2,FINISH,2.71
DCT_RE_depth=10_rmse=17.79,1,3,0,FAIL,1.29
DCT_RE_depth=10_rmse=17.79,1,1,2,FAIL,3.54
DCT_RE_depth=10_rmse=17.79,1,0,4,FINISH,4.69
DCT_RE_depth=10_rmse=17.79,1,2,4,FAIL,3.26
DCT_RE_depth=10_rmse=17.79,1,0,4,FINISH,4.69
DCT_RE_depth=10_rmse=17.79,1,4,3,FAIL,2.12
DCT_RE_depth=10_rmse=17.79,1,3,0,FAIL,1.29
DCT_RE_depth=10_rmse=17.79,1,0,2,FINISH,3.2
DCT_RE_depth=10_rmse=17.79,1,1,3,FAIL,4.82
DCT_RE_depth=10_rmse=17.79,1,1,2,FAIL,3.54
DCT_RE_depth=10_rmse=17.79,1,4,1,FAIL,0.99
DCT_RE_depth=10_rmse=17.79,1,4,3,FAIL,2.12
DCT_RE_depth=10_rmse=17.79,1,0,2,FINISH,2.71
DCT_RE_depth=10_rmse=17.79,1,4,1,FAIL,0.99
DCT_RE_depth=10_rmse=17.79,1,3,0,FAIL,1.29
DCT_RE_depth=10_rmse=17.79,1,1,6,FAIL,6.13
DCT_RE_depth=10_rmse=17.79,1,1,2,FAIL,3.54
DCT_RE_depth=10_rmse=17.79,1,1,6,FAIL,6.13
DCT_RE_depth=10_rmse=17.79,1,3,0,FAIL,1.29
DCT_RE_depth=10_rmse=17.79,1,0,5,FINISH,6.45
DCT_RE_depth=10_rmse=17.79,1,2,4,FAIL,4.23
DCT_RE_depth=10_rmse=17.79,1,1,2,FAIL,3.54
DCT_RE_depth=10_rmse=17.79,1,2,4,FAIL,4.23
DCT_RE_depth=10_rmse=17.79,1,0,4,FINISH,4.69
KNN_RE_k=5_rmse=17.12,1,4,0,FAIL,1.29
KNN_RE_k=5_rmse=17.12,2,0,8,FINISH,8.42
KNN_RE_k=5_rmse=17.12,2,0,8,FINISH,9.09
KNN_RE_k=5_rmse=17.12,2,1,29,FAIL,33.51
KNN_RE_k=5_rmse=17.12,2,0,6,FINISH,7.22
KNN_RE_k=5_rmse=17.12,2,0,6,FINISH,7.67
KNN_RE_k=5_rmse=17.12,2,0,11,FINISH,11.1
KNN_RE_k=5_rmse=17.12,2,0,9,FINISH,10.83
KNN_RE_k=5_rmse=17.12,2,0,5,FINISH,5.69
KNN_RE_k=5_rmse=17.12,2,0,7,FINISH,7.85
KNN_RE_k=5_rmse=17.12,2,0,11,FINISH,12.17
KNN_RE_k=5_rmse=17.12,2,0,9,FINISH,10.83
KNN_RE_k=5_rmse=17.12,2,0,6,FINISH,7.22
KNN_RE_k=5_rmse=17.12,2,0,6,FINISH,7.25
KNN_RE_k=5_rmse=17.12,2,0,12,FINISH,13.51
KNN_RE_k=5_rmse=17.12,2,0,8,FINISH,9.07
KNN_RE_k=5_rmse=17.12,2,0,6,FINISH,7.25
KNN_RE_k=5_rmse=17.12,2,0,16,FINISH,18.17
KNN_RE_k=5_rmse=17.12,2,0,9,FINISH,10.83
KNN_RE_k=5_rmse=17.12,2,0,6,FINISH,7.22
KNN_RE_k=5_rmse=17.12,2,0,12,FINISH,13.51
KNN_RE_k=5_rmse=17.12,2,0,6,FINISH,7.22
KNN_RE_k=5_rmse=17.12,2,1,27,FAIL,31.97
KNN_RE_k=5_rmse=17.12,2,0,11,FINISH,11.1
KNN_RE_k=5_rmse=17.12,2,0,6,FINISH,7.2
KNN_RE_k=5_rmse=17.12,2,1,28,FAIL,32.79
KNN_RE_k=5_rmse=17.12,2,0,7,FINISH,7.85
KNN_RE_k=5_rmse=17.12,2,0,9,FINISH,10.83
KNN_RE_k=5_rmse=17.12,2,1,28,FAIL,34.01
KNN_RE_k=5_rmse=17.12,2,0,16,FINISH,18.17
KNN_RE_k=5_rmse=17.12,2,0,6,FINISH,7.22
KNN_RE_k=5_rmse=17.12,3,10,26,FAIL,32.03
KNN_RE_k=5_rmse=17.12,3,1,31,FAIL,33.89
KNN_RE_k=5_rmse=17.12,3,0,20,FINISH,21.39
KNN_RE_k=5_rmse=17.12,3,0,18,FINISH,18.39
KNN_RE_k=5_rmse=17.12,3,9,26,FAIL,30.24
KNN_RE_k=5_rmse=17.12,3,0,21,FINISH,22.36
KNN_RE_k=5_rmse=17.12,3,0,17,FINISH,19.77
KNN_RE_k=5_rmse=17.12,3,6,27,FAIL,30.17
KNN_RE_k=5_rmse=17.12,3,0,20,FINISH,22.91
KNN_RE_k=5_rmse=17.12,3,7,26,FAIL,30.79
KNN_RE_k=5_rmse=17.12,3,0,18,FINISH,19.19
KNN_RE_k=5_rmse=17.12,3,0,16,FINISH,16.61
KNN_RE_k=5_rmse=17.12,3,1,29,FAIL,34.23
KNN_RE_k=5_rmse=17.12,3,0,17,FINISH,17.45
KNN_RE_k=5_rmse=17.12,3,5,28,FAIL,33.71
KNN_RE_k=5_rmse=17.12,3,0,18,FINISH,18.39
KNN_RE_k=5_rmse=17.12,3,0,17,FINISH,17.45
KNN_RE_k=5_rmse=17.12,3,1,30,FAIL,32.57
KNN_RE_k=5_rmse=17.12,3,0,17,FINISH,17.45
KNN_RE_k=5_rmse=17.12,3,4,24,FAIL,30.26
KNN_RE_k=5_rmse=17.12,3,9,26,FAIL,30.24
KNN_RE_k=5_rmse=17.12,3,0,15,FINISH,16.49
KNN_RE_k=5_rmse=17.12,3,4,28,FAIL,33.41
KNN_RE_k=5_rmse=17.12,3,7,27,FAIL,30.77
KNN_RE_k=5_rmse=17.12,3,1,30,FAIL,32.69
KNN_RE_k=5_rmse=17.12,3,9,28,FAIL,32.43
KNN_RE_k=5_rmse=17.12,3,0,15,FINISH,17.49
KNN_RE_k=5_rmse=17.12,3,9,26,FAIL,30.24
KNN_RE_k=5_rmse=17.12,3,5,28,FAIL,33.71
KNN_RE_k=5_rmse=17.12,3,0,18,FINISH,18.11
KNN_RE_k=5_rmse=17.12,4,0,19,FINISH,21.34
KNN_RE_k=5_rmse=17.12,4,0,27,FINISH,28.88
KNN_RE_k=5_rmse=17.12,4,1,28,FAIL,32.39
KNN_RE_k=5_rmse=17.12,4,0,13,FINISH,13.95
KNN_RE_k=5_rmse=17.12,4,1,28,FAIL,32.39
KNN_RE_k=5_rmse=17.12,4,0,18,FINISH,22.39
KNN_RE_k=5_rmse=17.12,4,0,21,FINISH,21.71
KNN_RE_k=5_rmse=17.12,4,0,16,FINISH,18.37
KNN_RE_k=5_rmse=17.12,4,5,29,FAIL,31.95
KNN_RE_k=5_rmse=17.12,4,0,27,FINISH,28.88
KNN_RE_k=5_rmse=17.12,4,0,17,FINISH,21.7
KNN_RE_k=5_rmse=17.12,4,0,22,FINISH,23.55
KNN_RE_k=5_rmse=17.12,4,1,28,FAIL,32.53
KNN_RE_k=5_rmse=17.12,4,2,30,FAIL,33.13
KNN_RE_k=5_rmse=17.12,4,0,26,FINISH,27.77
KNN_RE_k=5_rmse=17.12,4,1,27,FAIL,32.33
KNN_RE_k=5_rmse=17.12,4,0,21,FINISH,23.47
KNN_RE_k=5_rmse=17.12,4,0,17,FINISH,17.53
KNN_RE_k=5_rmse=17.12,4,0,16,FINISH,18.37
KNN_RE_k=5_rmse=17.12,4,0,25,FINISH,27.27
KNN_RE_k=5_rmse=17.12,4,0,22,FINISH,26.1
KNN_RE_k=5_rmse=17.12,4,3,29,FAIL,34.69
KNN_RE_k=5_rmse=17.12,4,0,20,FINISH,21.69
KNN_RE_k=5_rmse=17.12,4,0,18,FINISH,22.39
KNN_RE_k=5_rmse=17.12,4,0,16,FINISH,17.73
KNN_RE_k=5_rmse=17.12,4,5,26,FAIL,30.39
KNN_RE_k=5_rmse=17.12,4,3,28,FAIL,31.97
KNN_RE_k=5_rmse=17.12,4,5,27,FAIL,31.05
KNN_RE_k=5_rmse=17.12,4,1,28,FAIL,32.53
KNN_RE_k=5_rmse=17.12,4,0,22,FINISH,26.1
KNN_RE_k=5_rmse=17.12,5,2,29,FAIL,31.78
KNN_RE_k=5_rmse=17.12,5,0,26,FINISH,28
KNN_RE_k=5_rmse=17.12,5,1,29,FAIL,32.81
